model,scenario,region,variable,unit,period,value
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2018,2371
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2018,2371
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2018,2371
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2020,7716
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2020,7716
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2020,7716
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2020,159
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2020,159
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2020,159
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2020,2086
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2020,2086
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2020,2086
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2020,7
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2020,7
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2020,7
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2020,1837
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2020,1837
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2020,1837
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2020,15
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2020,15
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2020,15
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2020,1335
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2020,1335
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2020,1335
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2020,1
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2020,1
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2020,1
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2020,418
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2020,418
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2020,418
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2020,419
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2020,419
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2020,419
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2020,2929
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2020,2929
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2020,2929
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2020,727
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2020,727
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2020,727
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2020,684
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2020,684
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2020,684
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2020,2770
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2020,2770
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2020,2770
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2025,9005
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2025,8962
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2025,9288
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2025,191
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2025,194
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2025,216
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2025,2204
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2025,2106
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2025,1938
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2025,10
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2025,11
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2025,18
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2025,2130
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2025,2070
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2025,1998
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2025,19
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2025,19
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2025,25
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2025,1437
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2025,1448
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2025,1520
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2025,1
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2025,1
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2025,1
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2025,416
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2025,417
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2025,425
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2025,354
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2025,344
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2025,344
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2025,3835
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2025,3962
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2025,4502
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2025,1240
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2025,1309
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2025,1587
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2025,937
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2025,980
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2025,1135
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2025,3644
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2025,3768
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2025,4286
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2030,10194
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2030,10244
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2030,11042
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2030,211
