# Demand for Final Fuels
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,unit_conv
chemical feedstocks,refined liquids feedstocks,Final Energy,Final Energy|Liquids,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Liquids,,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Liquids,,,,,Final Energy (w/o bunkers),1
CO2 removal,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Carbon Management,Final Energy|Carbon Management|Electricity,Final Energy|Carbon Management|Direct Air Capture,Final Energy|Carbon Management|Direct Air Capture|Electricity,,,,,,Final Energy (w/o bunkers),1
CO2 removal,process heat dac,Final Energy,Final Energy|Electricity,,Final Energy|Carbon Management,Final Energy|Carbon Management|Electricity,Final Energy|Carbon Management|Direct Air Capture,Final Energy|Carbon Management|Direct Air Capture|Electricity,,,,,,Final Energy (w/o bunkers),1
comm cooling,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,,,,Final Energy (w/o bunkers),1
comm cooling,gas,Final Energy,Final Energy|Gases,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Commercial,Final Energy|Commercial|Gases,,,,,Final Energy (w/o bunkers),1
comm heating,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Biomass,,,,Final Energy (w/o bunkers),1
comm heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Coal,,,,Final Energy (w/o bunkers),1
comm heating,district heat,Final Energy,Final Energy|Heat,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Heat,,Final Energy|Commercial,Final Energy|Commercial|Heat,,,,,Final Energy (w/o bunkers),1
comm heating,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,,,,Final Energy (w/o bunkers),1
comm heating,gas,Final Energy,Final Energy|Gases,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Commercial,Final Energy|Commercial|Gases,,,,,Final Energy (w/o bunkers),1
comm heating,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,,,,Final Energy (w/o bunkers),1
comm heating,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,,,,Final Energy (w/o bunkers),1
comm heating,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Liquids,,Final Energy|Commercial,Final Energy|Commercial|Liquids,,,,,Final Energy (w/o bunkers),1
comm others,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Biomass,,,,Final Energy (w/o bunkers),1
comm others,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Coal,,,,Final Energy (w/o bunkers),1
comm others,district heat,Final Energy,Final Energy|Heat,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Heat,,Final Energy|Commercial,Final Energy|Commercial|Heat,,,,,Final Energy (w/o bunkers),1
comm others,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,,,,Final Energy (w/o bunkers),1
comm others,gas,Final Energy,Final Energy|Gases,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Commercial,Final Energy|Commercial|Gases,,,,,Final Energy (w/o bunkers),1
comm others,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,,,,Final Energy (w/o bunkers),1
comm others,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,,,,Final Energy (w/o bunkers),1
comm others,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Liquids,,Final Energy|Commercial,Final Energy|Commercial|Liquids,,,,,Final Energy (w/o bunkers),1
construction energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Biomass,,,,Final Energy (w/o bunkers),1
construction energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Biomass,,,,Final Energy (w/o bunkers),1
construction energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Coal,,,,Final Energy (w/o bunkers),1
construction energy use,delivered industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Coal,,,,Final Energy (w/o bunkers),1
construction energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Coal,,,,Final Energy (w/o bunkers),1
construction energy use,district heat,Final Energy,Final Energy|Heat,,Final Energy|Industry,Final Energy|Industry|Heat,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Heat,,,,,Final Energy (w/o bunkers),1
construction energy use,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Electricity,,,,,Final Energy (w/o bunkers),1
