"region","PrimaryFuelCO2Coef.name","PrimaryFuelCO2Coef"
"Russia","gas processing",14.2
"South Africa","gas processing",14.2
"South America_Northern","gas processing",14.2
"South America_Southern","gas processing",14.2
"South Asia","gas processing",14.2
"South Korea","gas processing",14.2
"Southeast Asia","gas processing",14.2
"Taiwan","gas processing",14.2
"Argentina","gas processing",14.2
"Colombia","gas processing",14.2
"USA","gas pipeline",14.2
"Africa_Eastern","gas pipeline",14.2
"Africa_Northern","gas pipeline",14.2
"Africa_Southern","gas pipeline",14.2
"Africa_Western","gas pipeline",14.2
"Australia_NZ","gas pipeline",14.2
"Brazil","gas pipeline",14.2
"Canada","gas pipeline",14.2
"Central America and Caribbean","gas pipeline",14.2
"Central Asia","gas pipeline",14.2
"China","gas pipeline",14.2
"EU-12","gas pipeline",14.2
"EU-15","gas pipeline",14.2
"Europe_Eastern","gas pipeline",14.2
"Europe_Non_EU","gas pipeline",14.2
"European Free Trade Association","gas pipeline",14.2
"India","gas pipeline",14.2
"Indonesia","gas pipeline",14.2
"Japan","gas pipeline",14.2
"Mexico","gas pipeline",14.2
"Middle East","gas pipeline",14.2
"Pakistan","gas pipeline",14.2
"Russia","gas pipeline",14.2
"South Africa","gas pipeline",14.2
"South America_Northern","gas pipeline",14.2
"South America_Southern","gas pipeline",14.2
"South Asia","gas pipeline",14.2
"South Korea","gas pipeline",14.2
"Southeast Asia","gas pipeline",14.2
"Taiwan","gas pipeline",14.2
"Argentina","gas pipeline",14.2
"Colombia","gas pipeline",14.2
"USA","wholesale gas",14.2
"Africa_Eastern","wholesale gas",14.2
"Africa_Northern","wholesale gas",14.2
"Africa_Southern","wholesale gas",14.2
"Africa_Western","wholesale gas",14.2
"Australia_NZ","wholesale gas",14.2
"Brazil","wholesale gas",14.2
"Canada","wholesale gas",14.2
"Central America and Caribbean","wholesale gas",14.2
"Central Asia","wholesale gas",14.2
"China","wholesale gas",14.2
"EU-12","wholesale gas",14.2
"EU-15","wholesale gas",14.2
"Europe_Eastern","wholesale gas",14.2
"Europe_Non_EU","wholesale gas",14.2
"European Free Trade Association","wholesale gas",14.2
"India","wholesale gas",14.2
"Indonesia","wholesale gas",14.2
"Japan","wholesale gas",14.2
"Mexico","wholesale gas",14.2
"Middle East","wholesale gas",14.2
"Pakistan","wholesale gas",14.2
"Russia","wholesale gas",14.2
"South Africa","wholesale gas",14.2
"South America_Northern","wholesale gas",14.2
"South America_Southern","wholesale gas",14.2
"South Asia","wholesale gas",14.2
"South Korea","wholesale gas",14.2
"Southeast Asia","wholesale gas",14.2
"Taiwan","wholesale gas",14.2
"Argentina","wholesale gas",14.2
"Colombia","wholesale gas",14.2
"USA","delivered gas",14.2
"Africa_Eastern","delivered gas",14.2
"Africa_Northern","delivered gas",14.2
"Africa_Southern","delivered gas",14.2
"Africa_Western","delivered gas",14.2
"Australia_NZ","delivered gas",14.2
"Brazil","delivered gas",14.2
"Canada","delivered gas",14.2
"Central America and Caribbean","delivered gas",14.2
"Central Asia","delivered gas",14.2
"China","delivered gas",14.2
"EU-12","delivered gas",14.2
"EU-15","delivered gas",14.2
"Europe_Eastern","delivered gas",14.2
"Europe_Non_EU","delivered gas",14.2
"European Free Trade Association","delivered gas",14.2
"India","delivered gas",14.2
"Indonesia","delivered gas",14.2
"Japan","delivered gas",14.2
"Mexico","delivered gas",14.2
"Middle East","delivered gas",14.2
"Pakistan","delivered gas",14.2
"Russia","delivered gas",14.2
"South Africa","delivered gas",14.2
"South America_Northern","delivered gas",14.2
"South America_Southern","delivered gas",14.2
"South Asia","delivered gas",14.2
"South Korea","delivered gas",14.2
"Southeast Asia","delivered gas",14.2
"Taiwan","delivered gas",14.2
"Argentina","delivered gas",14.2
"Colombia","delivered gas",14.2
"USA","crude oil",19.6
"Africa_Eastern","crude oil",19.6
"Africa_Northern","crude oil",19.6
"Africa_Southern","crude oil",19.6
"Africa_Western","crude oil",19.6
"Australia_NZ","crude oil",19.6
"Brazil","crude oil",19.6
"Canada","crude oil",19.6
"Central America and Caribbean","crude oil",19.6
"Central Asia","crude oil",19.6
"China","crude oil",19.6
"EU-12","crude oil",19.6
"EU-15","crude oil",19.6
"Europe_Eastern","crude oil",19.6
"Europe_Non_EU","crude oil",19.6
"European Free Trade Association","crude oil",19.6
"India","crude oil",19.6
"Indonesia","crude oil",19.6
"Japan","crude oil",19.6
"Mexico","crude oil",19.6
"Middle East","crude oil",19.6
"Pakistan","crude oil",19.6
"Russia","crude oil",19.6
"South Africa","crude oil",19.6
"South America_Northern","crude oil",19.6
"South America_Southern","crude oil",19.6
"South Asia","crude oil",19.6
"South Korea","crude oil",19.6
"Southeast Asia","crude oil",19.6
"Taiwan","crude oil",19.6
"Argentina","crude oil",19.6
"Colombia","crude oil",19.6
"USA","regional oil",19.6
"Africa_Eastern","regional oil",19.6
"Africa_Northern","regional oil",19.6
"Africa_Southern","regional oil",19.6
"Africa_Western","regional oil",19.6
"Australia_NZ","regional oil",19.6
"Brazil","regional oil",19.6
"Canada","regional oil",19.6
"Central America and Caribbean","regional oil",19.6
"Central Asia","regional oil",19.6
"China","regional oil",19.6
"EU-12","regional oil",19.6
"EU-15","regional oil",19.6
"Europe_Eastern","regional oil",19.6
"Europe_Non_EU","regional oil",19.6
"European Free Trade Association","regional oil",19.6
"India","regional oil",19.6
"Indonesia","regional oil",19.6
"Japan","regional oil",19.6
"Mexico","regional oil",19.6
"Middle East","regional oil",19.6
"Pakistan","regional oil",19.6
"Russia","regional oil",19.6
"South Africa","regional oil",19.6
"South America_Northern","regional oil",19.6
"South America_Southern","regional oil",19.6
"South Asia","regional oil",19.6
"South Korea","regional oil",19.6
"Southeast Asia","regional oil",19.6
"Taiwan","regional oil",19.6
"Argentina","regional oil",19.6
"Colombia","regional oil",19.6
"USA","refining",19.6
"Africa_Eastern","refining",19.6
"Africa_Northern","refining",19.6
"Africa_Southern","refining",19.6
"Africa_Western","refining",19.6
"Australia_NZ","refining",19.6
"Brazil","refining",19.6
"Canada","refining",19.6
"Central America and Caribbean","refining",19.6
"Central Asia","refining",19.6
"China","refining",19.6
"EU-12","refining",19.6
"EU-15","refining",19.6
"Europe_Eastern","refining",19.6
"Europe_Non_EU","refining",19.6
"European Free Trade Association","refining",19.6
"India","refining",19.6
"Indonesia","refining",19.6
"Japan","refining",19.6
"Mexico","refining",19.6
"Middle East","refining",19.6
"Pakistan","refining",19.6
"Russia","refining",19.6
"South Africa","refining",19.6
"South America_Northern","refining",19.6
"South America_Southern","refining",19.6
"South Asia","refining",19.6
"South Korea","refining",19.6
"Southeast Asia","refining",19.6
"Taiwan","refining",19.6
"Argentina","refining",19.6
"Colombia","refining",19.6
"USA","refined liquids industrial",0
"Africa_Eastern","refined liquids industrial",0
"Africa_Northern","refined liquids industrial",0
"Africa_Southern","refined liquids industrial",0
"Africa_Western","refined liquids industrial",0
"Australia_NZ","refined liquids industrial",0
"Brazil","refined liquids industrial",0
