# Demand for Final Fuels
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,unit_conv
chemical energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Bioenergy,,1
chemical energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Fossil,,1
chemical energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Fossil,,1
chemical energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Heat,,,1
chemical energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Electricity,,,1
chemical energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Gases,,,1
chemical energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,1
chemical energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,1
chemical energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Liquids,,,1
chemical feedstocks,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,,,,,,1
chemical feedstocks,delivered coal feedstocks,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,,,,,,1
chemical feedstocks,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,,1
chemical feedstocks,wholesale gas feedstocks,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,,1
chemical feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,,1
chemical feedstocks,refined liquids feedstocks,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,,1
CO2 removal,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Other Sector,Final Energy|Other Sector|Electricity,,,,,,,,1
comm cooling,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Residential and Commercial|Commercial|Electricity,,Final Energy|Residential and Commercial|Cooling,Final Energy|Residential and Commercial|Commercial|Cooling,,1
comm cooling,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Residential and Commercial|Commercial|Gases,,Final Energy|Residential and Commercial|Cooling,Final Energy|Residential and Commercial|Commercial|Cooling,,1
comm heating,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,Final Energy|Residential and Commercial|Commercial|Solids,Final Energy|Residential and Commercial|Commercial|Solids|Biomass,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,Final Energy|Residential and Commercial|Commercial|Solids,Final Energy|Residential and Commercial|Commercial|Solids|Coal,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Heat,,Final Energy|Residential and Commercial|Commercial|Heat,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Residential and Commercial|Commercial|Electricity,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Residential and Commercial|Commercial|Gases,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Residential and Commercial|Commercial|Hydrogen,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Residential and Commercial|Commercial|Hydrogen,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Liquids,,Final Energy|Residential and Commercial|Commercial|Liquids,,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Heating|Space,,1
comm others,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Solids,,Final Energy|Residential and Commercial|Commercial|Solids,Final Energy|Residential and Commercial|Commercial|Solids|Biomass,,,,1
comm others,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Solids,,Final Energy|Residential and Commercial|Commercial|Solids,Final Energy|Residential and Commercial|Commercial|Solids|Coal,,,,1
comm others,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Heat,,Final Energy|Residential and Commercial|Commercial|Heat,,,,,1
comm others,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Residential and Commercial|Commercial|Electricity,,,,,1
comm others,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Residential and Commercial|Commercial|Gas,,,,,1
comm others,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Residential and Commercial|Commercial|Hydrogen,,,,,1
comm others,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Hydrogen,,Final Energy|Residential and Commercial|Commercial|Hydrogen,,,,,1
comm others,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Commercial,Final Energy|Residential and Commercial|Liquids,,Final Energy|Residential and Commercial|Commercial|Liquids,,,,,1
construction energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
construction energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
construction energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
construction energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
construction energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,,,,,,1
construction energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,,1
construction energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,,,,,1
construction energy use,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
construction energy use,H2 wholesale dispensing,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
construction energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
construction energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,,,,,1
construction feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,,1
construction feedstocks,refined liquids feedstocks,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,,1
desalinated water,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Desalination,Final Energy|Water|Desalination|Electricity,,,,,,,1
desalinated water,gas,Final Energy,Final Energy|Gases,,,Final Energy|Water,Final Energy|Water|Desalination,Final Energy|Water|Desalination|Gases,,,,,,,1
desalinated water,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Water,Final Energy|Water|Desalination,Final Energy|Water|Desalination|Liquids,,,,,,,1
food processing,electricity,Final Energy,Final Energy|Electricity,,,,,,,,,,,,1
food processing,process heat food processing,NoReported,,,,,,,,,,,,,1
industrial energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
industrial energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
industrial energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,,,,,,1
industrial energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,,1
industrial energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,,,,,1
industrial energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,,,,,1
industrial feedstocks,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,,,,,,1
industrial feedstocks,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,,1
industrial feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,,1
industrial wastewater treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Industry,Final Energy|Water|Industry|Electricity,,,,,,,1
industrial water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Industry,Final Energy|Water|Industry|Electricity,,,,,,,1
industrial water treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Industry,Final Energy|Water|Industry|Electricity,,,,,,,1
iron and steel,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Solids,Final Energy|Industry|Steel|Solids|Bioenergy,,1
iron and steel,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Solids,Final Energy|Industry|Steel|Solids|Bioenergy,,1
iron and steel,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Solids,Final Energy|Industry|Steel|Solids|Fossil,,1
iron and steel,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Solids,Final Energy|Industry|Steel|Solids|Fossil,,1
iron and steel,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Electricity,,,1
iron and steel,gas,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Liquids,,,1
iron and steel,H2 industrial,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Gases,,,1
iron and steel,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Hydrogen,,,1
iron and steel,refined liquids,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,Final Energy|Industry|Steel,Final Energy|Industry|Steel|Liquids,,,1
irrigation water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Irrigation,Final Energy|Water|Irrigation|Electricity,,,,,,,1
mining energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
mining energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
mining energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
mining energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
mining energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,,,,,,1
mining energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,,1
mining energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,,,,,1
mining energy use,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
mining energy use,H2 wholesale dispensing,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
mining energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
mining energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,,,,,1
municipal wastewater treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Municipal,Final Energy|Water|Municipal|Electricity,,,,,,,1
municipal water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Municipal,Final Energy|Water|Municipal|Electricity,,,,,,,1
municipal water distribution,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Municipal,Final Energy|Water|Municipal|Electricity,,,,,,,1
municipal water treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Water,Final Energy|Water|Municipal,Final Energy|Water|Municipal|Electricity,,,,,,,1
N fertilizer,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,,Final Energy|Industry|Chemicals|Solids|Fossil,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Solids,Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,1
N fertilizer,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,,Final Energy|Industry|Chemicals|Solids|Fossil,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Solids,Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,1
N fertilizer,gas,Final Energy,Final Energy|Gases,,Final Energy|Industry,Final Energy|Industry|Gases,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Gases,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Gases,,1
N fertilizer,H2 industrial,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Hydrogen,,1
N fertilizer,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Hydrogen,,1
N fertilizer,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Industry,Final Energy|Industry|Liquids,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Liquids,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Liquids,,1
ammonia,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,,Final Energy|Industry|Chemicals|Solids|Fossil,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Solids,Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,1
ammonia,gas,Final Energy,Final Energy|Gases,,Final Energy|Industry,Final Energy|Industry|Gases,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Gases,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Gases,,1
ammonia,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Hydrogen,,1
ammonia,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Industry,Final Energy|Industry|Liquids,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Liquids,,,Final Energy|Industry|Chemicals|Ammonia,Final Energy|Industry|Chemicals|Ammonia|Liquids,,1
other industrial energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
other industrial energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,,,,,,1
other industrial energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
other industrial energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,,,,,,1
other industrial energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,,,,,,1
other industrial energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,,1
other industrial energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,,,,,1
other industrial energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
other industrial energy use,H2 wholesale delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
other industrial energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,,,,,,1
other industrial energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,,,,,1
other industrial feedstocks,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,,1
other industrial feedstocks,delivered coal feedstocks,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,,,,,,1
