# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
resid others TradBio,traditional biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass|Traditional,Emissions|BC|Energy|Demand|Residential,Emissions|BC|Energy|Demand|Residential|Biomass,Emissions|BC|Energy|Demand|Residential|Biomass|Traditional,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass|Traditional,Emissions|BC|Energy and Industrial Processes,1
resid others TradBio,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
trn_aviation_intl,International Aviation,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Bunkers,,,Emissions|BC|Energy|Demand|Bunkers|International Aviation,,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_freight,Domestic Ship,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Domestic Shipping,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_freight,Freight Rail,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Rail,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_freight_road,Heavy truck,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Truck,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_freight_road,Light truck,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Truck,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_freight_road,Medium truck,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Truck,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass,Domestic Aviation,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Domestic Aviation,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass,Passenger Rail,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Rail,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass_road,Bus,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Bus,,,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass_road_LDV,2W and 3W,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle|Two-Wheeler,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Car,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle|Midsize Car,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Large Car and Truck,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle|Large Car and SUV,,,Emissions|BC|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Mini Car,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Transportation,,,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|BC|Energy|Demand|Transportation|Light-Duty Vehicle|Subcompact Car,,,Emissions|BC|Energy and Industrial Processes,1
trn_shipping_intl,International Ship,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Bunkers,,,Emissions|BC|Energy|Demand|Bunkers|International Shipping,,,,,,Emissions|BC|Energy and Industrial Processes,1
UnmanagedLand,ForestFire,BC,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Land,,Emissions|BC|AFOLU|Land|Fires,,,Emissions|BC|AFOLU|Land|Fires|Forest Burning,Emissions|BC|AFOLU [NGHGI],,,,,,1
UnmanagedLand,GrasslandFires,BC,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Land,,Emissions|BC|AFOLU|Land|Fires,,,Emissions|BC|AFOLU|Land|Fires|Grassland Burning,Emissions|BC|AFOLU [NGHGI],,,,,,1
UnmanagedLand,,BC,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Land,,Emissions|BC|AFOLU|Land|Other,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
urban processes,landfills,BC,Emissions|BC,Emissions|BC|Waste,,,,,,,,,,,,,1
urban processes,waste_incineration,BC,Emissions|BC,Emissions|BC|Waste,,,,,,,,,,,,,1
urban processes,wastewater,BC,Emissions|BC,Emissions|BC|Waste,,,,,,,,,,,,,1
urban processes,,BC,Emissions|BC,Emissions|BC|Other,,,,,,,,,,,,,1
waste biomass for paper,biomass,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Pulp and Paper,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
waste biomass for paper,,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Pulp and Paper,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
Corn,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
FiberCrop,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Fruits,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Legumes,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
MiscCrop,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
NutsSeeds,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
OilCrop,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
OilPalm,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
OtherGrain,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
PalmFruit,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Rice,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
RootTuber,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Soybean,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
SugarCrop,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Vegetables,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
Wheat,,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,Emissions|BC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|BC|AFOLU [NGHGI],,,,,,1
industrial processes,solvents,C2F6,Emissions|C2F6,,,,Emissions|C2F6|Product Use,,,Emissions|C2F6|Product Use|Solvents,,,,,,,1
industrial processes,,C2F6,Emissions|C2F6,,,,Emissions|C2F6|Industrial Processes,,,,,,,,,,1
urban processes,,C2F6,Emissions|C2F6,,,,Emissions|C2F6|Product Use,,,Emissions|C2F6|Product Use|Solvents,,,,,,,1
industrial processes,solvents,CF4,Emissions|CF4,,,,,,,,,,,,,,1
industrial processes,,CF4,Emissions|CF4,,,,,,,,,,,,,,1
urban processes,,CF4,Emissions|CF4,,,,,,,,,,,,,,1
agricultural energy use,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|AFOFI,,,,,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CH4|Energy and Industrial Processes,1
alumina,biomass,CH4,Emissions|CH4,Emissions|CH4|Industrial Processes,Emissions|CH4|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
alumina,,CH4,Emissions|CH4,Emissions|CH4|Industrial Processes,Emissions|CH4|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
