# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
Corn,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Dairy,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Livestock,,,Emissions|VOC|AFOLU|Agriculture|Livestock|Enteric Fermentation,Emissions|VOC|AFOLU [NGHGI],,,,,,1
FiberCrop,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Fruits,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Legumes,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
MiscCrop,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
NutsSeeds,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OilCrop,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OilPalm,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OtherGrain,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
PalmFruit,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Pork,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Livestock,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Poultry,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Livestock,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Rice,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Rice,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
RootTuber,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
SheepGoat,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Livestock,,,Emissions|VOC|AFOLU|Agriculture|Livestock|Enteric Fermentation,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Soybean,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
SugarCrop,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Vegetables,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Wheat,,NMVOC_AGR,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agriculture,,Emissions|VOC|AFOLU|Agriculture|Managed Soils,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Corn,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
FiberCrop,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Fruits,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Legumes,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
MiscCrop,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
NutsSeeds,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OilCrop,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OilPalm,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
OtherGrain,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
PalmFruit,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Rice,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
RootTuber,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Soybean,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
SugarCrop,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Vegetables,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
Wheat,,NMVOC_AWB,Emissions|VOC,Emissions|VOC|AFOLU,Emissions|VOC|AFOLU|Agricultural Waste Burning,,,,,,Emissions|VOC|AFOLU [NGHGI],,,,,,1
agricultural energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|AFOFI,,,,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
alumina,biomass,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,Emissions|NOx|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
alumina,,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,Emissions|NOx|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
ammonia,,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,Emissions|NOx|Industrial Processes|Chemicals,,Emissions|NOx|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
backup_electricity,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Electricity,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
chemical energy use,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,Emissions|NOx|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
chemical energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
comm cooling,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Commercial,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
comm heating,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,,Emissions|NOx|Energy|Demand|Commercial,Emissions|NOx|Energy|Demand|Commercial|Biomass,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|NOx|Energy and Industrial Processes,1
comm heating,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Commercial,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
comm others,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,,Emissions|NOx|Energy|Demand|Commercial,Emissions|NOx|Energy|Demand|Commercial|Biomass,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|NOx|Energy and Industrial Processes,1
comm others,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Commercial,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
construction energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
district heat,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Biomass,Emissions|NOx|Energy|Supply|Heat,Emissions|NOx|Energy|Supply|Heat|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
district heat,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Heat,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
electricity,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Biomass,Emissions|NOx|Energy|Supply|Electricity,Emissions|NOx|Energy|Supply|Electricity|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
electricity,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Electricity,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
H2 central production,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Biomass,Emissions|NOx|Energy|Supply|Hydrogen,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
H2 central production,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Hydrogen,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
H2 forecourt production,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Hydrogen,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
H2 wholesale dispensing,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Hydrogen,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
industrial energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
industrial processes,solvents,NOx,Emissions|NOx,Emissions|NOx|Product Use,Emissions|NOx|Product Use|Solvents,,,,,,,,,,,,1
industrial processes,,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,,,,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
iron and steel,,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,Emissions|NOx|Industrial Processes|Iron and Steel,,,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
mining energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
N fertilizer,,NOx,Emissions|NOx,Emissions|NOx|Industrial Processes,Emissions|NOx|Industrial Processes|Chemicals,,Emissions|NOx|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
other industrial energy use,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,Emissions|NOx|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
other industrial energy use,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
process heat cement,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,Emissions|NOx|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
process heat cement,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
process heat food processing,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,Emissions|NOx|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
process heat food processing,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
process heat paper,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Industry,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
refining,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,,Emissions|NOx|Energy|Supply|Liquids,,,,,,,,,Emissions|NOx|Energy and Industrial Processes,1
resid cooling,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid cooling modern,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid heating,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid heating coal,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid heating modern,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,,Emissions|NOx|Energy|Demand|Residential,Emissions|NOx|Energy|Demand|Residential|Biomass,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|NOx|Energy and Industrial Processes,1
resid heating modern,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid heating TradBio,traditional biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass|Traditional,Emissions|NOx|Energy|Demand|Residential,Emissions|NOx|Energy|Demand|Residential|Biomass,Emissions|NOx|Energy|Demand|Residential|Biomass|Traditional,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass|Traditional,Emissions|NOx|Energy and Industrial Processes,1
resid heating TradBio,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid others,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid others coal,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid others modern,biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,,Emissions|NOx|Energy|Demand|Residential,Emissions|NOx|Energy|Demand|Residential|Biomass,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|NOx|Energy and Industrial Processes,1
resid others modern,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
resid others TradBio,traditional biomass,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass,Emissions|NOx|Energy|Demand|Residential and Commercial|Biomass|Traditional,Emissions|NOx|Energy|Demand|Residential,Emissions|NOx|Energy|Demand|Residential|Biomass,Emissions|NOx|Energy|Demand|Residential|Biomass|Traditional,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI|Biomass|Traditional,Emissions|NOx|Energy and Industrial Processes,1
resid others TradBio,,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Residential and Commercial,,,Emissions|NOx|Energy|Demand|Residential,,,Emissions|NOx|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|NOx|Energy and Industrial Processes,1
trn_aviation_intl,International Aviation,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Bunkers,,,Emissions|NOx|Energy|Demand|Bunkers|International Aviation,,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_freight,Domestic Ship,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Domestic Shipping,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_freight,Freight Rail,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Rail,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_freight_road,Heavy truck,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Truck,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_freight_road,Light truck,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Truck,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_freight_road,Medium truck,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Truck,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass,Domestic Aviation,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Domestic Aviation,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass,Passenger Rail,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Rail,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass_road,Bus,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Bus,,,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass_road_LDV,2W and 3W,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle|Two-Wheeler,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Car,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle|Midsize Car,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Large Car and Truck,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle|Large Car and SUV,,,Emissions|NOx|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Mini Car,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Transportation,,,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|NOx|Energy|Demand|Transportation|Light-Duty Vehicle|Subcompact Car,,,Emissions|NOx|Energy and Industrial Processes,1
trn_shipping_intl,International Ship,NOx,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Demand,,Emissions|NOx|Energy|Demand|Bunkers,,,Emissions|NOx|Energy|Demand|Bunkers|International Shipping,,,,,,Emissions|NOx|Energy and Industrial Processes,1
UnmanagedLand,ForestFire,NOx,Emissions|NOx,Emissions|NOx|AFOLU,Emissions|NOx|AFOLU|Land,,Emissions|NOx|AFOLU|Land|Fires,,,Emissions|NOx|AFOLU|Land|Fires|Forest Burning,Emissions|NOx|AFOLU [NGHGI],,,,,,1
UnmanagedLand,GrasslandFires,NOx,Emissions|NOx,Emissions|NOx|AFOLU,Emissions|NOx|AFOLU|Land,,Emissions|NOx|AFOLU|Land|Fires,,,Emissions|NOx|AFOLU|Land|Fires|Grassland Burning,Emissions|NOx|AFOLU [NGHGI],,,,,,1
UnmanagedLand,,NOx,Emissions|NOx,Emissions|NOx|AFOLU,Emissions|NOx|AFOLU|Land,,Emissions|NOx|AFOLU|Land|Other,,,,Emissions|NOx|AFOLU [NGHGI],,,,,,1
urban processes,landfills,NOx,Emissions|NOx,Emissions|NOx|Waste,,,,,,,,,,,,,1
urban processes,waste_incineration,NOx,Emissions|NOx,Emissions|NOx|Waste,,,,,,,,,,,,,1
