# CO2 emission by tech mapping
sector,subsector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
chemical feedstocks,gas,gas CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,refined liquids,refined liquids CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,,,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
comm cooling,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm heating,biomass,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm heating,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm heating,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm heating,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm others,biomass,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm others,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm others,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
comm others,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Residential and Commercial,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO2|Energy|Demand|Commercial,,,3.666667
construction energy use,mobile,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
construction energy use,stationary,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
construction energy use,stationary,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
construction energy use,stationary,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
construction energy use,stationary,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
construction feedstocks,,,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Other Sector,,,,3.666667
