# Transport Demand for Final Fuels
input,sector,mode,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,unit_conv
H2 retail dispensing,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass_road_LDV_4W,Large Car and Truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
delivered coal,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
