# Description: per-basin vegetation and soil carbon densities used as emission factors for afforestation/reforestation (AR) carbon storage estimation
# Usage: cdf_lulucf computation
# Source: GCAM v8 ScenMIP - GCAM_land_carbon_info_ScenMIP (Xin Zhao, 2026-05-14) 
region,basin,LandLeaf,veg.carbon.density,soil.carbon.density,mature.age,min.soil.carbon.density,SoilTime
EU-15,ElbeR,UnmanagedPasture_ElbeR,117.333333333333,410.666666666667,10,347.402826872027,50
EU-15,RhineR,UnmanagedPasture_RhineR,143,366.666666666667,10,337.149891923799,50
EU-15,ScheldtR,UnmanagedPasture_ScheldtR,113.666666666667,223.666666666667,10,210.452048011995,50
EU-15,FranceCstW,UnmanagedPasture_FranceCstW,124.666666666667,293.333333333333,10,272.571216098625,50
EU-15,LoireR,UnmanagedPasture_LoireR,117.333333333333,264,10,245.210476493122,50
EU-15,SeineR,UnmanagedPasture_SeineR,172.333333333333,234.666666666667,10,221.197137158526,50
EU-15,ItalyCstE,UnmanagedPasture_ItalyCstE,88,319,10,303.709867495501,50
EU-15,DanubeR,UnmanagedPasture_DanubeR,150.333333333333,396,10,359.915942675469,50
EU-15,AdrBlkSea,UnmanagedPasture_AdrBlkSea,62.3333333333333,293.333333333333,11,259.836902352282,50
EU-15,PoR,UnmanagedPasture_PoR,124.666666666667,469.333333333333,10,376.456866847111,50
EU-15,ItalyCstW,UnmanagedPasture_ItalyCstW,161.333333333333,319,10,264.002708399013,50
EU-15,IberiaCst,UnmanagedPasture_IberiaCst,146.666666666667,388.666666666667,11,332.330694798253,50
EU-15,FranceCstS,UnmanagedPasture_FranceCstS,146.666666666667,289.666666666667,11,276.711553332869,50
EU-15,RhoneR,UnmanagedPasture_RhoneR,150.333333333333,381.333333333333,10,357.856534544314,50
EU-15,MeditIsl,UnmanagedPasture_MeditIsl,132,289.666666666667,11,253.45109118276,50
EU-15,Gironde,UnmanagedPasture_Gironde,132,322.666666666667,10,292.087015234262,50
EU-15,SpainCstSE,UnmanagedPasture_SpainCstSE,69.6666666666667,205.333333333333,11,173.970016897178,50
EU-15,TiberR,UnmanagedPasture_TiberR,157.666666666667,322.666666666667,10,260.152544913168,50
EU-15,TagusR,UnmanagedPasture_TagusR,40.3333333333333,212.666666666667,11,200.402833275128,50
EU-15,EbroR,UnmanagedPasture_EbroR,88,300.666666666667,10,227.950495855509,50
EU-15,DouroR,UnmanagedPasture_DouroR,62.3333333333333,278.666666666667,10,225.671006973473,50
EU-15,MeditE,UnmanagedPasture_MeditE,25.6666666666667,381.333333333333,10,333.666666666667,50
EU-15,GuadianaR,UnmanagedPasture_GuadianaR,25.6666666666667,172.333333333333,11,167.688693314055,50
EU-15,GuadalqR,UnmanagedPasture_GuadalqR,25.6666666666667,176,10,170.655792238752,50
EU-15,AfrCstNW,UnmanagedPasture_AfrCstNW,25.6666666666667,381.333333333333,10,333.666666666667,50
Ukraine,NevaR,UnmanagedPasture_NevaR,165,586.666666666667,10,542.193727870511,50
Ukraine,DaugavaR,UnmanagedPasture_DaugavaR,124.666666666667,616,10,559.442342600365,50
Ukraine,WislaR,UnmanagedPasture_WislaR,44,337.333333333333,10,307.309905201008,50
Ukraine,NemanR,UnmanagedPasture_NemanR,51.3333333333333,469.333333333333,10,408.856247223374,50
Ukraine,DnieperR,UnmanagedPasture_DnieperR,88,418,10,374.044958570667,50
Ukraine,BlackSeaN,UnmanagedPasture_BlackSeaN,55,322.666666666667,10,283.059057583198,50
Ukraine,DniesterR,UnmanagedPasture_DniesterR,194.333333333333,311.666666666667,10,302.793873678658,50
Ukraine,DonR,UnmanagedPasture_DonR,91.6666666666667,440,10,382.712328041936,50
Ukraine,DanubeR,UnmanagedPasture_DanubeR,58.6666666666667,282.333333333333,10,331.563842973523,50
Europe_Non_EU,DanubeR,UnmanagedPasture_DanubeR,95.3333333333333,286,10,289.518791521143,50
Europe_Non_EU,AdrBlkSea,UnmanagedPasture_AdrBlkSea,62.3333333333333,341,10,320.410434257441,50
Europe_Non_EU,BlackSeaS,UnmanagedPasture_BlackSeaS,29.3333333333333,293.333333333333,10,268.511737658356,50
Europe_Non_EU,CaspianSW,UnmanagedPasture_CaspianSW,29.3333333333333,381.333333333333,10,331.297578254697,50
Europe_Non_EU,MeditE,UnmanagedPasture_MeditE,22,234.666666666667,10,208.857671552926,50
