#Demand for Final Fuels,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
resid other,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Gases,,1
resid other,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Liquids,,1
resid refrigerators,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid televisions,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
trn_aviation_intl,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,,1
trn_freight,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,,1
trn_freight_road,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,,1
trn_freight_road,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,,1
trn_freight_road,gas,Final Energy,Final Energy|Gases,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Gases,,1
trn_freight_road,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,,1
trn_pass,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,,1
trn_pass,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,,1
trn_pass_road,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,,1
trn_pass_road,gas,Final Energy,Final Energy|Gases,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Gases,,1
trn_pass_road,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,,1
trn_pass_road_LDV,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,,1
trn_pass_road_LDV,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,,1
trn_pass_road_LDV_2W,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,,1
trn_pass_road_LDV_2W,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,,1
trn_pass_road_LDV_4W,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,,1
trn_pass_road_LDV_4W,gas,Final Energy,Final Energy|Gases,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Gases,,1
trn_pass_road_LDV_4W,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Hydrogen,,1
trn_pass_road_LDV_4W,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,,1
trn_shipping_intl,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,,1
