# Multiple load segments Electricity generation by technology (inc solar roofs),,,,,,,,,,,
output,subsector,technology,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
electricity,gas,gas cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_base_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_base_CC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/ CCS,,,,1
electricity,gas,gas_int_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_peak_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_peak_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_subpeak_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,gas,gas_subpeak_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,geothermal,geo_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Geothermal,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,grid_storage,battery,Secondary Energy|Electricity,,,,,,,,1
electricity,hydro,hydro_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,hydro,hydro_int,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,hydrogen,hydrogen cogen,Secondary Energy|Electricity,,,,,,,,1
electricity,nuclear,nuc_base_Gen II,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,nuclear,nuc_base_Gen III,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
