# Water XXs by subsector
sector,subsector,var1,var2,var3,var4,unit_conv
biomass,biomassGrass_CaspianSW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Gobi,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LBalkash,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ObR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SyrDaryaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_UralR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_VolgaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_YeniseiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AmurR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BlackSeaS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CaspianNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CaspianSW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Gobi,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_LBalkash,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ObR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SyrDaryaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_VolgaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_YeniseiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BoHai,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ChinaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GangesR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Hainan,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Hong,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_HuangHeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IndusR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IrrawaddyR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Mekong,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RusCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SChinaSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Salween,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Tarim,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_XunJiang,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Yangtze,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ZiyaHe,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BoHai,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ChinaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GangesR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Hainan,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Hong,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_HuangHeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IrrawaddyR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Mekong,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RusCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SChinaSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Salween,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_XunJiang,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Yangtze,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ZiyaHe,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MagdalenaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_OrinocoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MagdalenaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_OrinocoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AdrBlkSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BalticSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DanubeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DaugavaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DniesterR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DnkGrmCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ElbeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NarvaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NemanR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_OderR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_PolandCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_WislaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AdrBlkSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BalticSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DanubeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DaugavaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DniesterR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DnkGrmCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ElbeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MeditE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NarvaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NemanR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_OderR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_PolandCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_WislaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DouroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_EbroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_EmsWeserR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_EngWales,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Finland,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_FranceCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_FranceCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Gironde,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GuadalqR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GuadianaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IberiaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Ireland,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ItalyCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ItalyCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LoireR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MeditIsl,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NevaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_PoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RhineR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RhoneR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ScheldtR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Scotland,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SeineR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SpainCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Sweden,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_TagusR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_TiberR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DouroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_EbroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_EmsWeserR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_EngWales,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Finland,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_FranceCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_FranceCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Gironde,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GuadalqR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GuadianaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IberiaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Ireland,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ItalyCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ItalyCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_LoireR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MeditIsl,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NevaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_PoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RhineR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RhoneR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ScheldtR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Scotland,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SeineR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SpainCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Sweden,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_TagusR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_TiberR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BlackSeaN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DnieperR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BlackSeaN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DnieperR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_EJrdnSyr,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_TigrEuphR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_TigrEuphR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ScndnvN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ScndnvN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BengalBay,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BengalW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BrahmaniR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CauveryR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GodavariR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IndCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IndCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IndCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IndCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_KrishnaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MahanadiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MahiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NarmadaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_PennarR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SabarmatiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_TaptiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BengalBay,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BengalW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BrahmaniR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CauveryR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GodavariR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IndCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IndCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IndCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IndCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IndusR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_KrishnaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MahanadiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MahiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NarmadaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_PennarR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SabarmatiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_TaptiR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BorneoCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IdnE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_IrianJaya,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_JavaTimor,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Kalimantan,Water XX,Water XX|Irrigation,,,1
