#Resource extraction
resource,var1,var2,unit_conv
MexGulf_water consumption,NoReported,,1
MexGulf_water withdrawals,NoReported,,1
MexInt_water consumption,NoReported,,1
MexInt_water withdrawals,NoReported,,1
misc emissions sources,NoReported,,1
MissouriR_water consumption,NoReported,,1
MissouriR_water withdrawals,NoReported,,1
MissppRN_water consumption,NoReported,,1
MissppRN_water withdrawals,NoReported,,1
MissppRS_water consumption,NoReported,,1
MissppRS_water withdrawals,NoReported,,1
MurrayDrlg_water consumption,NoReported,,1
MurrayDrlg_water withdrawals,NoReported,,1
NarmadaR_water consumption,NoReported,,1
NarmadaR_water withdrawals,NoReported,,1
NarvaR_water consumption,NoReported,,1
NarvaR_water withdrawals,NoReported,,1
natural gas,Resource|Extraction|Gas,Resource|Extraction|Fossil,1
NegroR_water consumption,NoReported,,1
NegroR_water withdrawals,NoReported,,1
NelsonR_water consumption,NoReported,,1
NelsonR_water withdrawals,NoReported,,1
NemanR_water consumption,NoReported,,1
NemanR_water withdrawals,NoReported,,1
NevaR_water consumption,NoReported,,1
NevaR_water withdrawals,NoReported,,1
NewCaledn_water consumption,NoReported,,1
NewCaledn_water withdrawals,NoReported,,1
NewZealand_water consumption,NoReported,,1
NewZealand_water withdrawals,NoReported,,1
NigerR_water consumption,NoReported,,1
NigerR_water withdrawals,NoReported,,1
NileR_water consumption,NoReported,,1
NileR_water withdrawals,NoReported,,1
NWTerr_water consumption,NoReported,,1
NWTerr_water withdrawals,NoReported,,1
ObR_water consumption,NoReported,,1
ObR_water withdrawals,NoReported,,1
OderR_water consumption,NoReported,,1
OderR_water withdrawals,NoReported,,1
offshore carbon-storage,NoReported,,1
offshore wind resource,NoReported,,1
OhioR_water consumption,NoReported,,1
OhioR_water withdrawals,NoReported,,1
onshore carbon-storage,NoReported,,1
onshore wind resource,NoReported,,1
OrangeR_water consumption,NoReported,,1
OrangeR_water withdrawals,NoReported,,1
OrinocoR_water consumption,NoReported,,1
OrinocoR_water withdrawals,NoReported,,1
OtherMeat_Fish,NoReported,,1
