# map to pair energy consumption and en_prices to compute the parent categories and World en_prices weighted by energy consumption
en_price_var,en_consumption_var
Price|Final Energy|Transportation|Passenger|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen
Price|Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Passenger|Liquids
Price|Final Energy|Transportation|Rail|Electricity,Final Energy|Transportation|Rail|Electricity
Price|Final Energy|Transportation|Rail|Hydrogen,Final Energy|Transportation|Rail|Hydrogen
Price|Final Energy|Transportation|Rail|Liquids,Final Energy|Transportation|Rail|Liquids
Price|Final Energy|Transportation|Truck|Electricity,Final Energy|Transportation|Truck|Electricity
Price|Final Energy|Transportation|Truck|Hydrogen,Final Energy|Transportation|Truck|Hydrogen
Price|Final Energy|Transportation|Truck|Liquids,Final Energy|Transportation|Truck|Liquids
Price|Primary Energy|Biomass,Primary Energy|Biomass
Price|Primary Energy|Coal,Primary Energy|Coal
Price|Primary Energy|Fossil,Primary Energy|Fossil
Price|Primary Energy|Gas,Primary Energy|Gas
Price|Primary Energy|Oil,Primary Energy|Oil
Price|Secondary Energy|Electricity,Secondary Energy|Electricity
Price|Secondary Energy|Gases,Secondary Energy|Gases
Price|Secondary Energy|Heat,Secondary Energy|Heat
Price|Secondary Energy|Hydrogen,Secondary Energy|Hydrogen
Price|Secondary Energy|Liquids,Secondary Energy|Liquids
Price|Secondary Energy|Solids,Secondary Energy|Solids
Price|Secondary Energy|Solids|Biomass,Secondary Energy|Solids|Biomass
Price|Secondary Energy|Solids|Coal,Secondary Energy|Solids|Coal
